facility_name,odhf_facility_type,latitude,longitude
Sunny Hill Health Centre For Children,Nursing and residential care facilities,49.2519743,-123.0482504
Sunnybank Centre,Nursing and residential care facilities,49.187837,-119.5401017
Sunrise Of Lynn Valley,Nursing and residential care facilities,49.3326532,-123.0472914
Sunrise Of Vancouver,Nursing and residential care facilities,49.2195762,-123.1278011
Sunrise Of Victoria,Nursing and residential care facilities,48.418885,-123.36082
Sunset Lodge - Salvation Army,Nursing and residential care facilities,48.4418742,-123.3933671
Sunshine Coast Health Centre,Nursing and residential care facilities,49.773664,-124.429
Sunwood Medical Clinic,Ambulatory health care services,49.274,-122.7944
Surrey Memorial Hospital,Hospitals,49.1765946,-122.8417742
Swan Valley Lodge-30,Nursing and residential care facilities,49.0979123,-116.5153237
Swensson House,Nursing and residential care facilities,49.0498845,-122.4532155
Tabor Home,Nursing and residential care facilities,49.047016,-122.338899
Tait Street,Nursing and residential care facilities,48.4710736,-123.3908108
Talarico Place,Nursing and residential care facilities,49.3149693,-117.6614243
Tall Timbers Residence,Nursing and residential care facilities,49.103715,-122.554986
Tamarack House,Nursing and residential care facilities,48.445491,-123.47428
Tanner House,Nursing and residential care facilities,49.2442213,-123.0313165
Tavernier Home,Nursing and residential care facilities,49.1440221,-122.2959622
Tenth Street Medicentre,Ambulatory health care services,49.201215,-122.916095
Terraceview Lodge,Nursing and residential care facilities,54.533333,-128.59334
Teshi House,Nursing and residential care facilities,49.4739295,-117.291627
The Arbours At Sunridge Place,Nursing and residential care facilities,48.777453,-123.69747
The Boulevard,Nursing and residential care facilities,49.317604,-123.058
The Bridge Medical Clinic,Ambulatory health care services,49.869856,-125.129046
The Cascades,Nursing and residential care facilities,49.160818,-121.9629698
The Chrysalis 22,Nursing and residential care facilities,49.2075008,-122.8309787
The Classic Homestead - East,Nursing and residential care facilities,49.136447,-122.655987
The Classic Homestead - West,Nursing and residential care facilities,49.136456,-122.656232
The Clinic At Clayton Heights,Ambulatory health care services,49.132924,-122.701348
The Crossing House,Nursing and residential care facilities,49.233638,-122.995372
The Divisions Of Family Practice,Ambulatory health care services,49.16583,-121.9626
The Doctors' Office,Ambulatory health care services,49.263577,-123.121538
The Ellendale Treatment Program - Liz's Place,Nursing and residential care facilities,49.2061108,-122.8128281
The Florentine,Nursing and residential care facilities,50.1246261,-120.7634019
The Gardens At Qualicum Beach,Nursing and residential care facilities,49.348341,-124.43764
The Gateby,Nursing and residential care facilities,50.2642353,-119.2813015
The Hamlets At Penticton,Nursing and residential care facilities,49.4840616,-119.5897419
The Hamlets At Vernon,Nursing and residential care facilities,50.2628516,-119.2714963
The Hamlets At Westsyde,Nursing and residential care facilities,50.770821,-120.341961
The Heights,Nursing and residential care facilities,48.4770791,-123.4125089
The Heights At Mount View,Nursing and residential care facilities,48.459499,-123.38131
The Kiwanis Pavilion,Nursing and residential care facilities,48.446264,-123.34603
The Oxford - Senior Living And Care,Nursing and residential care facilities,49.0418106,-122.3349739
The Phoenix Centre,Nursing and residential care facilities,49.1745351,-122.843306
The Regional Treatment Centre (pacific),Hospitals,49.0310858,-122.3003157
The Residence At Clayton Heights,Nursing and residential care facilities,49.1317703,-122.7026815
The Residence In Mission,Nursing and residential care facilities,49.135354,-122.330124
The Richmond Bridge House,Nursing and residential care facilities,49.162539,-123.1107626
The Salvation Army Buchanan Lodge,Nursing and residential care facilities,49.2288744,-122.8979893
The Styles Apartments,Nursing and residential care facilities,48.43881,-123.38889
The Terraces At Evergreen,Nursing and residential care facilities,49.0295667,-122.8107662
"The University Hospital Of Northern British Columbia, Prince George",Hospitals,53.911312,-122.763377
The Village At Smith Creek,Nursing and residential care facilities,49.842992,-119.627187
The Waterford,Nursing and residential care facilities,49.0271841,-123.0701603
Third Avenue Residence,Nursing and residential care facilities,49.1366484,-122.294644
Thornton,Nursing and residential care facilities,49.2195003,-122.5310159
Thorpe Rd. House (v.i.t.a.l.),Nursing and residential care facilities,49.700739,-124.97727
Three Links Care Centre,Nursing and residential care facilities,49.2503144,-123.0429307
Three Links Manor,Nursing and residential care facilities,49.883268,-119.4669195
Tilikum House,Nursing and residential care facilities,49.2578371,-123.0383714
Tillicum Group Home,Nursing and residential care facilities,48.459891,-123.39731
Tillicum Medical Clinic,Ambulatory health care services,48.45447,-123.3949
Timberline House,Nursing and residential care facilities,49.962646,-125.23602
Tofino General Hospital,Hospitals,49.151404,-125.908799
Together We Can,Nursing and residential care facilities,49.236999,-123.047
Top Of The World Ranch Treatment Centre,Nursing and residential care facilities,49.685915,-115.664733
Topaz Place,Nursing and residential care facilities,49.1394638,-121.9679091
Totem Lodge,Nursing and residential care facilities,49.47472,-123.758
Town Plaza Medical Clinic,Ambulatory health care services,50.117232,-122.955944
Towne Centre Medical Clinic,Ambulatory health care services,49.82718,-119.6288
Treebank Home,Nursing and residential care facilities,48.449659,-123.41854
Trillium House,Nursing and residential care facilities,49.3206867,-122.9980666
Trillium Lodge,Nursing and residential care facilities,49.311376,-124.32514
Trillium Lodge Extended Care Hospital,Hospitals,49.31138,-124.325
Trinity Centre,Nursing and residential care facilities,49.4644041,-119.5822885
Triton Medical Clinic,Ambulatory health care services,49.16434,-122.8753
Tsawaayuus (rainbow Gardens),Nursing and residential care facilities,49.269313,-124.848
Turner Connection,Nursing and residential care facilities,49.221571,-124.04173
Turning Point Recovery Society - Richmond Men's House,Nursing and residential care facilities,49.1820657,-123.1082596
Turning Point Recovery Society - Vancouver,Nursing and residential care facilities,49.2596944,-123.1138887
Turning Point Recovery Society North Shore Men's,Nursing and residential care facilities,49.312108,-123.005
Turning Point Recovery Society North Shore Women's,Nursing and residential care facilities,49.334326,-123.104
Turning Point Richmond Women's,Nursing and residential care facilities,49.138995,-123.1593558
Turnstone,Nursing and residential care facilities,49.482772,-123.768248
Turtle Bay Medical Clinic,Ambulatory health care services,50.05433,-119.412485
Twelfth Avenue,Nursing and residential care facilities,49.2190106,-122.9329777
Twenty Sixth Avenue Home,Nursing and residential care facilities,49.0492254,-122.4728834
Twin Oaks,Nursing and residential care facilities,48.503458,-123.3578157
Ty Watson House,Nursing and residential care facilities,49.2276256,-124.8086038
Tyndall Home,Nursing and residential care facilities,48.490212,-123.31749
Ubc Hospital,Hospitals,49.2631558,-123.2460022
Ubc Hospital - Detwiller Pavilion,Hospitals,49.264575,-123.244143
Ubc Hospital - Koerner Pavilion,Hospitals,49.264671,-123.244259
Ubc Hospital - Purdy Pavilion,Hospitals,49.263388,-123.245945
Ultima Medical Services,Ambulatory health care services,49.2864911,-123.1213
Una Medical Clinic,Ambulatory health care services,49.257857,-123.127501
University Hospital - Purdy Pavilion Ecu,Nursing and residential care facilities,49.26331,-123.255
University Hospital Of Northern British Columbia,Hospitals,53.911251,-122.763153
University Of Northern British Columbia,Ambulatory health care services,53.8922,-122.8134
University Village Medical,Ambulatory health care services,49.266463,-123.242117
Uptown Medical Clinic,Ambulatory health care services,48.45517,-123.3744
Valemount Community Health Centre,Hospitals,52.83174,-119.273927
Valhaven Rest Home,Nursing and residential care facilities,49.0789671,-122.3857153
Valley Centre Medical Clinic,Ambulatory health care services,49.11821,-122.673359
Valleyhaven,Nursing and residential care facilities,49.1664458,-121.9661444
Valleyview Treatment Centre,Ambulatory health care services,48.710695,-123.607747
Van Kleeck Home,Nursing and residential care facilities,50.4387917,-119.1874706
Vancouver Coastal Health,Ambulatory health care services,49.2640819,-123.2462781
Vancouver Detoxification Centre,Nursing and residential care facilities,49.267258,-123.097
Vancouver General Hospital,Hospitals,49.261616,-123.1239113
Vancouver General Hospital - Banfield Pavilion,Hospitals,49.261231,-123.118806
Vancouver General Hospital - Gordon And Leslie Diamond Health Care Centre,Hospitals,49.261187,-123.125655
Vancouver General Hospital - Health Centre,Hospitals,49.26052,-123.120849
Vancouver General Hospital - Jim Pattison Pavilion,Hospitals,49.260558,-123.124094
Vancouver General Hospital - Leon Judah Blackmore Pavilion,Hospitals,49.260542,-123.122823
Vancouver General Hospital - Willow Pavilion,Hospitals,49.26051,-123.122
Vancouver Hospice,Nursing and residential care facilities,49.24427,-123.14
Vancouver Hospital And Health Sciences Centre,Hospitals,49.260572,-123.124372
Vanmar Place,Nursing and residential care facilities,49.1240739,-121.9439663
Venture,Nursing and residential care facilities,49.2590505,-123.1002884
Veralife Health Centre,Ambulatory health care services,49.133691,-122.801946
Vernon Jubilee Hospital,Hospitals,50.2556464,-119.270432
Victoria Chinatown Care Centre,Nursing and residential care facilities,48.4299113,-123.3676465
Victoria General And Royal Jubilee Hospital,Hospitals,48.467302,-123.436488
Victoria General Hospital,Hospitals,48.466809,-123.432576
Victoria General Hospital - Victoria,Hospitals,48.4665044,-123.4330644
Victoria House,Nursing and residential care facilities,49.4591879,-120.515888
Victoria Mental Health Centre,Ambulatory health care services,48.43242,-123.323847
Victoria Rest Home Ltd.,Nursing and residential care facilities,49.205615,-122.916128
Victorian Community Health Centre Of Kaslo,Nursing and residential care facilities,49.9134786,-116.9140496
Victory House,Nursing and residential care facilities,49.2824813,-123.096363
Viewmont House,Nursing and residential care facilities,48.49645,-123.38733
Villa Carital,Nursing and residential care facilities,49.2565839,-123.0521465
Villa Cathay Care Home,Nursing and residential care facilities,49.277208,-123.084
Village Langley (the),Nursing and residential care facilities,49.073088,-122.674722
Villeneuve House,Nursing and residential care facilities,49.8882963,-119.4605542
Virginia House,Nursing and residential care facilities,49.2615516,-123.1447641
Vista,Nursing and residential care facilities,49.254868,-123.071
Vista House,Nursing and residential care facilities,49.2135719,-122.9745099
Viva Care,Ambulatory health care services,49.05795,-122.3783
Waddington Group Home,Nursing and residential care facilities,50.653665,-120.33799
Walker,Nursing and residential care facilities,49.0374461,-122.2638329
Wallace Road Duplex,Nursing and residential care facilities,49.9055892,-119.3836707
Wallace Street Medical Clinic,Ambulatory health care services,49.168301,-123.94144
Walpole House,Nursing and residential care facilities,49.3216264,-123.0014172
Warner House,Nursing and residential care facilities,50.443508,-119.207355
Wascana House,Nursing and residential care facilities,48.4531909,-123.3852909
Washington Park Medical Clinic,Ambulatory health care services,49.69744,-124.9863
Waterloo Rest Home Ltd,Nursing and residential care facilities,49.2697648,-123.1799944
Wave Medical Clinic,Ambulatory health care services,49.279513,-123.12848
Waverly Seniors Village,Nursing and residential care facilities,49.155593,-121.95191
Welcome Medical Clinic,Ambulatory health care services,49.219204,-122.927954
Well Medical Clinic,Ambulatory health care services,49.249007,-122.867352
Wellington Street Group Home,Nursing and residential care facilities,49.2788454,-122.7620924
Wellness First Medical Clinic,Ambulatory health care services,49.14019,-123.1378
Wells Gray Place,Nursing and residential care facilities,49.2325521,-122.8936793
West 63rd Home,Nursing and residential care facilities,49.2134497,-123.1139356
West Coast Family Medical Clinic,Ambulatory health care services,48.378844,-123.721171
West Coast General Hospital,Hospitals,49.2487383,-124.782044
West Coast Urgent Care Clinic,Ambulatory health care services,49.263571,-124.792035
West Houston,Nursing and residential care facilities,49.4808886,-117.299647
West Kelowna Walk-in And Family Practice,Ambulatory health care services,49.8375,-119.6156
West Shore Laylum,Nursing and residential care facilities,49.0482742,-122.7977542
West Steveston Medical Clinic,Ambulatory health care services,49.132,-123.0961
West Vancouver Beachside Medical,Ambulatory health care services,49.32737,-123.15454
Westholme Road Group Home,Nursing and residential care facilities,48.850249,-123.71544
Westminster House,Nursing and residential care facilities,49.032828,-122.836989
Westporte Residence,Nursing and residential care facilities,49.2734596,-124.8466434
Westside Medical Associates,Ambulatory health care services,49.86601,-119.563434
Westsyde Care Annex,Nursing and residential care facilities,50.758769,-120.3494264
Westsyde Care Residence,Nursing and residential care facilities,50.758789,-120.34943
Westwood Group Home,Nursing and residential care facilities,49.17259,-124.01553
Wexford Creek,Nursing and residential care facilities,49.131794,-123.92555
Wheelhouse Integrative Medical Clinic,Ambulatory health care services,48.463909,-123.499077
Whistler Blackcomb Sea To Sky Community Hospice,Nursing and residential care facilities,49.69963,-123.14
Whistler Medical Clinic,Ambulatory health care services,50.120463,-122.954906
White Heather Manor,Nursing and residential care facilities,49.8506754,-119.4776144
White Rock Seniors Village,Nursing and residential care facilities,49.0236424,-122.7891502
Whitecliff Retirement Residence,Nursing and residential care facilities,49.031791,-122.793109
Wicks Road Group Home,Nursing and residential care facilities,48.798265,-123.68607
Wilcox Home,Nursing and residential care facilities,48.5567761,-123.3977046
Wilding Way,Nursing and residential care facilities,49.3307307,-123.0534125
Williams Lake Community Mental Health And Addiction Services,Nursing and residential care facilities,52.1297698,-122.1397368
Williams Lake Seniors Village,Nursing and residential care facilities,52.1520084,-122.1593926
Williams Road Group Home,Nursing and residential care facilities,49.1406059,-123.1314438
Willingdon Creek Village,Nursing and residential care facilities,49.849859,-124.519
Willoughby Medical Centre,Ambulatory health care services,49.12048,-122.6614
Willow House,Nursing and residential care facilities,50.2554465,-119.2599452
Willow Manor Care Centre,Nursing and residential care facilities,49.2253273,-122.6020158
Willow Place,Nursing and residential care facilities,49.0924555,-117.7478234
Willowbrook Medical Clinic,Ambulatory health care services,49.115513,-122.678664
Willowview,Nursing and residential care facilities,50.2550268,-119.2705047
Wilmada Place,Nursing and residential care facilities,49.1712909,-121.932773
Windermere Care Centre,Nursing and residential care facilities,49.260325,-123.125
Windridge House,Nursing and residential care facilities,49.3097667,-123.0142042
Wingate House,Nursing and residential care facilities,49.2538639,-122.8583242
Winston Manor,Nursing and residential care facilities,49.2660448,-123.1686393
Wisteria House Group Home,Nursing and residential care facilities,48.782618,-123.73072
Woodgrove Manor,Nursing and residential care facilities,49.2291611,-124.0433343
Woodrich,Nursing and residential care facilities,49.1592408,-123.1584481
Woodvan,Nursing and residential care facilities,49.214385,-123.0777711
Woodwards Home,Nursing and residential care facilities,49.1437498,-123.1592847
Wrinch Memorial Hospital,Hospitals,55.2595756,-127.651258
Yale House,Nursing and residential care facilities,49.1883729,-122.8586626
Yaletown House,Nursing and residential care facilities,49.275272,-123.119
Yaletown Medical Clinic,Ambulatory health care services,49.273447,-123.12342
Yates And Quadra Integrated Health Centre,Ambulatory health care services,48.42563,-123.358744
Yew Residence,Nursing and residential care facilities,49.2300254,-123.1590853
Youville Residence,Nursing and residential care facilities,49.24058,-123.12
Yucalta Lodge,Nursing and residential care facilities,50.009873,-125.24531
Yyoung Medical Clinic And Pharmacy,Ambulatory health care services,49.269917,-123.100793
Zion Park Manor,Nursing and residential care facilities,49.1101454,-122.724215
Altona Community Health Centre,Hospitals,49.1074008,-97.5507187
Altona Community Memorial,Hospitals,49.097393,-97.566131
Altona Community Memorial Health Centre,Ambulatory health care services,49.107597,-97.550719
Arborg And Districts Health Centre,Hospitals,50.905138,-97.226298
Arborg Hospital,Hospitals,50.9061209,-97.2261858
Ashern - Lakeshore General Hospital,Hospitals,51.1802504,-98.3526275
Baldur Health Centre,Hospitals,49.3848958,-99.2407383
Beausejour District Hospital,Hospitals,50.0578759,-96.5199995
Beausejour Health Centre,Ambulatory health care services,50.06166,-96.515192
Beausejour Hospital,Hospitals,50.0578965,-96.5200145
Benito Health Centre Inc.,Hospitals,51.914325,-101.54707
Bethesda Hospital,Hospitals,49.5295887,-96.6800683
Bethesda Regional Health Centre,Ambulatory health care services,49.5297417,-96.6802789
Birtle Health Centre,Hospitals,50.4257546,-101.04682
Boissevain Health Centre,Hospitals,49.225534,-100.059793
Boissevain Health Centre District,Hospitals,49.224217,-100.059664
Brandon General Hospital,Hospitals,49.840453,-99.936903
Brandon Regional Health Centre,Hospitals,49.840231,-99.936897
Breast Health Centre,Ambulatory health care services,49.8847121,-97.1233133
Cancercare Manitoba- Mcdermot,Hospitals,49.9030607,-97.1583208
Carberry Health Centre,Hospitals,49.871223,-99.361694
Carberry Plain Health Centre,Hospitals,49.871891,-99.356199
Carman Memorial Hospital,Hospitals,49.496954,-98.008551
Cartwright Health Centre,Hospitals,49.09505,-99.3411
Centre De Sante St. Claude Health Centre,Ambulatory health care services,49.653788,-98.344588
Centre De Sant- Notre-dame Health Centre,Ambulatory health care services,49.532008,-98.564292
Centre Medico Social De Salaberry District Health Centre,Hospitals,49.4445191,-96.9898441
Churchill Health Centre,Ambulatory health care services,58.7716045,-94.1702555
Concordia Hospital,Hospitals,49.913511,-97.06463
Cormorant Health Care Centre,Hospitals,54.224805,-100.601709
Cranberry Portage Wellness Centre,Ambulatory health care services,54.585535,-101.375943
Dauphin Regional Health Centre,Hospitals,51.1477443,-100.0609707
Davidson Memorial Health Centre,Ambulatory health care services,49.091939,-99.334541
Deer Lodge Centre Inc.,Nursing and residential care facilities,49.8779998,-97.2355202
Deloraine Health Centre,Hospitals,49.1916925,-100.4983178
Desalaberry District Health Centre,Hospitals,49.444981,-96.988244
Dr. Evelyn Memorial Hospital,Hospitals,50.1303426,-97.3357173
E.m. Crowe Memorial Hospital,Hospitals,50.864458,-98.1049068
Eden Mental Health Centre,Ambulatory health care services,49.1777107,-97.9560743
Elizabeth M. Crowe Memorial Hospital,Hospitals,50.8660843,-98.1066581
Elkwood Manor,Nursing and residential care facilities,49.976117,-101.240845
Emerson Health Centre,Hospitals,49.0046511,-97.2157093
Erickson Health Centre,Hospitals,50.496341,-99.90902
Eriksdale E.m. Crowe Memorial Hospital,Hospitals,50.866247,-98.10668
Eriksdale Medical Clinic,Ambulatory health care services,50.8635647,-98.1049507
Eveline Street Clinic,Ambulatory health care services,50.1299913,-96.8857792
Flin Flon General Hospital,Hospitals,54.7643835,-101.8766221
Gillam Hospital Inc.,Hospitals,56.346671,-94.708376
Gimli Community Health Centre (johnson Memorial Hospital),Hospitals,50.627844,-96.994259
Gimli Johnson Memorial Hospital,Hospitals,50.627187,-96.994988
Gladstone Health Centre,Ambulatory health care services,50.225025,-98.943426
Glenboro Health District Hospital,Hospitals,49.559843,-99.287091
Grace General Hospital,Hospitals,49.8823551,-97.2767758
Grace Hospital,Hospitals,49.881923,-97.274715
Grandview District Hospital,Hospitals,51.178923,-100.70023
Grandview Health Centre,Ambulatory health care services,51.179309,-100.699876
Hamiota District Health Centre,Hospitals,50.18213,-100.59
Hamitoa Health Centre,Ambulatory health care services,50.182126,-100.589744
Hartney Health Centre,Hospitals,49.484746,-100.526726
Health Sciences Centre,Hospitals,49.904682,-97.159448
Hunter Memorial Hospital,Hospitals,50.3874521,-97.254977
H-pital Ste-anne Hospital,Hospitals,49.6678815,-96.6476614
Ilford Community Health Centre,Ambulatory health care services,56.067745,-95.600435
Johnson Memorial Hospital,Hospitals,50.6279201,-96.9939877
Kin Place Primary Health Care Centre,Ambulatory health care services,49.9443501,-96.840926
Lac Du Bonnet Health Centre,Ambulatory health care services,50.253,-96.060223
Lac Du Bonnet Primary Health Clinic,Ambulatory health care services,50.2528364,-96.0612718
Lakeshore General Hospital - Ashern,Hospitals,51.1798564,-98.351933
Leaf Rapids Health Care Centre,Hospitals,56.463294,-100.011258
Leaf Rapids Health Centre,Ambulatory health care services,56.463351,-100.0107
Lorne Memorial Hospital,Hospitals,49.412453,-98.787451
Lundar Health Centre - Nurse Practitioner Clinic,Ambulatory health care services,50.6938986,-98.0386811
Lynn Lake Hospital,Hospitals,56.8568707,-101.0440366
Macgregor Health Centre,Hospitals,49.9622412,-98.775017
"Manitoba Adolescent Treatment Centre, Inc. - Hospital Program",Hospitals,49.90613,-97.163433
Mccreary/alonsa Health Centre,Hospitals,50.772448,-99.486386
Melita Health Centre,Hospitals,49.2705031,-100.996575
Minnedosa Health Centre,Hospitals,50.241616,-99.839963
Minnedosa Health District,,50.2419435,-99.8365575
Misericordia Health Centre,Hospitals,49.8789496,-97.1593898
Morris General Hospital,Hospitals,49.3532971,-97.3606927
Neepawa District Memorial Hospital,Hospitals,50.234156,-99.4629502
Neepawa Health Centre,Hospitals,50.234162,-99.46262
Neepawa Health Centre (memorial Hospital),Hospitals,50.2343329,-99.4613957
Norway House Indian Hospital,Hospitals,53.983997,-97.832136
Notre Dame Medical Nursing Unit,Hospitals,49.5326942,-98.562463
Pan Am Clinic,Ambulatory health care services,49.853271,-97.1729129
Pembina Manitou Health Centre,Hospitals,49.241727,-98.544099
Percy E. Moore Hospital,Hospitals,51.21595,-97.574065
Pikwitonei Health Centre,Ambulatory health care services,55.595632,-97.087572
Pinawa Hospital,Hospitals,50.15126,-95.8835
Pine Falls Health Complex,Hospitals,50.56338,-96.2148
Pine Falls Hospital,Hospitals,50.5633796,-96.2148499
Portage District General Hospital,Hospitals,49.96723,-98.2815
Quarry Ridge Medical Clinic,Ambulatory health care services,50.1312642,-97.3282445
Reston Community Health Centre,Hospitals,49.5613575,-101.0998449
Riverdale Health Centre,Ambulatory health care services,50.035198,-100.242171
Rivers Health Centre,Hospitals,50.0351804,-100.242086
Riverview Health Centre,Nursing and residential care facilities,49.868759,-97.119886
Roblin & District Health Centre,Hospitals,51.2270295,-101.3627624
Roblin Health Centre,Ambulatory health care services,51.227136,-101.362792
Rock Lake Health District Hospital,Hospitals,49.1501474,-98.9509769
Rossburn District Health Centre,Hospitals,50.667222,-100.806773
Rossburn Health Centre,Hospitals,50.6670586,-100.8045689
Russell Health Centre,Hospitals,50.7731668,-101.2772138
Selkirk & District General Hospital,Hospitals,50.1574965,-96.8877138
Selkirk Careplus Walk-in Clinic,Ambulatory health care services,50.143996,-96.87489
Selkirk Medical Centre,Ambulatory health care services,50.141993,-96.8715129
Selkirk Mental Health Centre,Ambulatory health care services,50.1531413,-96.8880005
Selkirk Quickcare Clinic,Ambulatory health care services,50.1576011,-96.9026359
Selkirk Regional Health Centre,Ambulatory health care services,50.1567853,-96.8829839
Selkirk Travel Health Clinic,Ambulatory health care services,50.144757,-96.8712574
Seven Oaks General Hospital,Hospitals,49.9553126,-97.1461033
Seven Regions Health Centre,Hospitals,50.225678,-98.9435589
Sherridon Health Centre,Ambulatory health care services,55.124244,-101.085324
Shoal Lake-strathclair Health Centre,Hospitals,50.438675,-100.594663
Snow Lake Health Centre,Hospitals,54.881037,-100.027829
Souris Health Centre,Hospitals,49.614677,-100.2491169
St Laurent Community Health Centre,Ambulatory health care services,50.4101523,-97.9375711
St. Anthony-s General Hospital,Hospitals,53.827585,-101.250896
St. Boniface General Hospital,Hospitals,49.8843372,-97.1248402
St. Claude Health Centre,Hospitals,49.6537739,-98.3449207
Ste. Anne Hospital,Hospitals,49.667158,-96.648785
Ste. Rose General Hospital,Hospitals,52.099188,-101.271765
Stonewall And District Health Centre,Hospitals,50.131652,-97.335247
Swan River Valley Hospital,Hospitals,52.106327,-101.263378
Swan Valley Health Centre,Hospitals,52.106406,-101.262285
Teulon Medical Clinic,Ambulatory health care services,50.3862055,-97.258389
Teulon/hunter Memorial Hospital,Hospitals,50.387348,-97.254851
The Pas Health Complex,Hospitals,53.829393,-101.247878
The Pas Health Complex Inc. (st. Anthony General Hospital),Hospitals,53.827349,-101.251094
Thicket Portage Community Health Centre,Hospitals,55.318447,-97.686998
Thompson General Hospital,Hospitals,55.735294,-97.856618
Tiger Hills Health Centre,Hospitals,49.633472,-98.698192
Tiger Hills Health District,Hospitals,49.634198,-98.698072
Tri-lake Health Centre,Hospitals,49.175966,-99.6634111
Victoria General Hospital - Winnipeg,Hospitals,49.8067554,-97.1527389
Virden District Hospital,Hospitals,49.856408,-100.923601
Virden Health Centre,Hospitals,49.8564212,-100.9237773
Vita & District Health Centre,Hospitals,49.136181,-96.564779
Wabowden Community Health Centre,Ambulatory health care services,54.90946,-98.629192
Wawanesa And District Memorial Health Centre,Hospitals,49.595097,-99.69253
Wawanesa Health Centre,Ambulatory health care services,49.595754,-99.693114
Western Surgery Centre,Hospitals,49.8430716,-97.1997911
Whitemouth Clinic,Ambulatory health care services,49.9553628,-95.9735042
Whitemouth District Health Centre,Ambulatory health care services,49.955996,-95.973021
Winnipegosis And District Health Centre,Ambulatory health care services,51.640305,-99.932282
Winnipegosis General Hospital Inc.,Hospitals,51.640253,-99.932233
Woodlands Clinic,Ambulatory health care services,50.2070522,-97.6571939
Campbellton Regional Hospital,Hospitals,47.9930568,-66.6665744
Campbellton Regional Hospital / H-pital R-gional De Campbellton,Hospitals,47.993001,-66.666471
Centracare Saint John Inc.,Hospitals,45.2543073,-66.1268967
Centre D'oncologie Dr-l-on-richard,Ambulatory health care services,46.0969071,-64.7868313
Centre Hospitalier Restigouche Inc.,Hospitals,47.9930568,-66.6665744
Centre Hospitalier Universitaire Dr-georges-l.-dumont,Hospitals,46.0980252,-64.7862138
Chaleur Regional Hospital,Hospitals,47.646965,-65.693773
Chaleur Regional Hospital / H-pital R-gional Chaleur,Hospitals,47.649555,-65.693374
Charlotte County Hospital,Hospitals,45.1944858,-67.2658217
Charlotte County Hospital / H-pital Du Comt- De Charlotte,Hospitals,45.194884,-67.267309
Dr. Everett Chalmers Regional Hospital,Hospitals,45.9389697,-66.6544717
Dr. Everett Chalmers Regional Hospital / H-pital R-gional Dr Everett Chalmers,Hospitals,45.93992,-66.654111
Dr. Georges-l. Dumont Regional Hospital,Hospitals,46.097973,-64.787034
Dr. Georges-l.-dumont University Hospital Centre / Centre Hospitalier Universitaire Dr-georges-l.-dumont,Hospitals,46.097885,-64.787161
Edmundston Regional Hospital,Hospitals,47.375995,-68.31069
Edmundston Regional Hospital / H-pital R-gional D-edmundston,Hospitals,47.376423,-68.310634
Enfant-j-sus Rhsj- Hospital,Hospitals,47.79516,-64.938919
Enfant-j-sus Rhsj- Hospital / H-pital De L-enfant-j-sus Rhsj-,Hospitals,47.794639,-64.938884
Grand Falls General Hospital / H-pital G-n-ral De Grand-sault,Hospitals,47.04533,-67.754716
Grand Manan Hospital,Hospitals,44.7622016,-66.7638355
Grand Manan Hospital / H-pital De Grand Manan,Hospitals,44.762163,-66.763825
Hotel Dieu Of Saint-joseph,Hospitals,46.7290031,-67.710327
Hotel-dieu Of St. Joseph / H-pital H-tel-dieu De Saint-joseph,Hospitals,46.729093,-67.710215
H-pital De L'enfant - J-sus Rhsj,Hospitals,47.7945304,-64.938719
H-pital De Tracadie-sheila,Hospitals,47.5123828,-64.90633
H-pital Et Centre De Sant- Communautaire De Lam-que,Hospitals,47.7916389,-64.6531608
H-pital General De Grand-sault,Hospitals,47.0452984,-67.754333
H-pital R-gional Chaleur,Hospitals,47.649288,-65.694674
H-pital R-gional D'edmundston,Hospitals,47.3759952,-68.3106899
H-pital Stella-maris-de-kent,Hospitals,46.5588706,-64.7823508
H-tel-dieu Saint-joseph De Saint-quentin / H-tel-dieu Saint-joseph De Saint-quentin,Hospitals,47.497546,-67.393196
H-tel-dieu Sainte-joseph De Saint-quentin,Hospitals,47.497723,67.393163
Lam-que Hospital And Community Health Centre,Hospitals,47.791639,-64.653161
Lam-que Hospital And Community Health Centre / H-pital Et Centre De Sant- Communautaire De Lam-que,Hospitals,47.791603,-64.652963
Miramichi Regional Hospital,Hospitals,47.0028679,-65.5414429
Miramichi Regional Hospital / H-pital R-gional De Miramichi,Hospitals,47.002809,-65.541447
Oromocto Public Hospital,Hospitals,45.8486363,-66.4731796
Oromocto Public Hospital / H-pital Public D-oromocto,Hospitals,45.848627,-66.473685
Restigouche Hospital Centre / Centre Hospitalier Restigouche,Hospitals,47.993001,-66.666471
Sackville Memorial Hospital,Hospitals,45.8919015,-64.3724448
Sackville Memorial Hospital / H-pital M-morial De Sackville,Hospitals,45.892303,-64.373339
Saint John Regional Hospital,Hospitals,45.302733,-66.08515
Saint John Regional Hospital / H-pital R-gional De Saint John,Hospitals,45.301739,-66.085223
St. Joseph's Hospital / H-pital St. Joseph,Hospitals,45.279031,-66.057905
St. Joseph's Hospital [nb],Hospitals,45.279275,-66.057714
Stella-maris-de-kent Hospital,Hospitals,46.558269,-64.778995
Stella-maris-de-kent Hospital / H-pital Stella-maris-de-kent,Hospitals,46.558804,-64.782402
Sussex Health Centre,Hospitals,45.7263329,-65.4905742
